005              "005"
anibonusb2        "Animal Bonus"
anibonusd1        "Animal Bonus"
anibonusd2        "Animal Bonus"
anibonuso         "Animal Bonus"
anibonuso2        "Animal Bonus"
anibonuso3        "Animal Bonus"
anibonusv1        "Animal Bonus"
anibonusv2        "Animal Bonus"
anibonusxo        "Animal Bonus"
anibonusxo2       "Animal Bonus"
anibonusxo3       "Animal Bonus"
animalc           "Animal Catch"
animaljr          "Exciting Animal Land Jr."
animaljrj         "Waiwai Animal Land Jr."
animaljrs         "Animalandia Jr."
animechmp         "Anime Champ"
animpkr           "unknown rocket/animal-themed poker"
anithunt          "Animal Treasure Hunt"
anithuntd1        "Animal Treasure Hunt"
anithunto         "Animal Treasure Hunt"
anithunto2        "Animal Treasure Hunt"
anithuntv1        "Animal Treasure Hunt"
anmlbskt          "Animal Basket"
anmlbskta         "Animal Basket"
anpanman          "Soreike! Anpanman Popcorn Koujou"
anpanman2         "Soreike! Anpanman Popcorn Koujou 2"
antar             "Antar"
antar2            "Antar"
antcleo           "Antony and Cleopatra"
antcleom          "Antony and Cleopatra"
anteater          "Anteater"
anteaterg         "Ameisenbaer"
anteatergg        "Ameisenbaer"
anteateruk        "The Anteater"
antiairc          "Anti-Aircraft [TTL]"
aodk              "Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku"
aof               "Art of Fighting / Ryuuko no Ken"
aof2              "Art of Fighting 2 / Ryuuko no Ken 2"
aof2a             "Art of Fighting 2 / Ryuuko no Ken 2"
aof3              "Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden"
aof3k             "Art of Fighting 3 - The Path of the Warrior"
aoh               "Age Of Heroes - Silkroad 2"
apache3           "Apache 3"
apache3a          "Apache 3"
apache3b          "Apache 3"
apb               "APB - All Points Bulletin"
apb1              "APB - All Points Bulletin"
apb2              "APB - All Points Bulletin"
apb3              "APB - All Points Bulletin"
apb4              "APB - All Points Bulletin"
apb5              "APB - All Points Bulletin"
apb6              "APB - All Points Bulletin"
apbf              "APB - All Points Bulletin"
apbg              "APB - All Points Bulletin"
aplan             "A-Plan"
aplarail          "Attack Pla Rail"
aplatoon          "Platoon"
apocof            "Apollo Coffee"
apollo13          "Apollo 13"
apollo13_10       "Apollo 13"
apollo13_20       "Apollo 13"
apollo13_d4       "Apollo 13"
aponow            "Apocaljpse Now"
apparel           "Apparel Night"
apple10           "Apple 10"
appoooh           "Appoooh"
aquajack          "Aqua Jack"
aquajackj         "Aqua Jack"
aquajacku         "Aqua Jack"
aquajet           "Aqua Jet"
aqualand          "Aqualand"
aquarium          "Aquarium"
aquariumj         "Aquarium"
aquarush          "Aqua Rush"
aquastge          "Aqua Stage"
ar_airh           "SportTime Table Hockey"
ar_airh2          "SportTime Table Hockey"
ar_argh           "Aaargh"
ar_bios           "Arcadia System BIOS"
ar_blast          "Blastaball"
ar_bowl           "SportTime Bowling"
ar_dart           "World Darts"
ar_dart2          "World Darts"
ar_dlta           "Delta Command"
ar_fast           "Magic Johnson's Fast Break"
ar_fasta          "Magic Johnson's Fast Break"
ar_ldrb           "Leader Board"
ar_ldrba          "Leader Board"
ar_ldrbb          "Leader Board"
ar_ninj           "Ninja Mission"
ar_ninj2          "Ninja Mission"
ar_pm             "Pharaohs Match"
ar_rdwr           "RoadWars"
ar_sdwr           "Sidewinder"
ar_sdwr2          "Sidewinder"
ar_socc           "World Trophy Soccer"
ar_spot           "Spot"
ar_sprg           "Space Ranger"
ar_xeon           "Xenon"
arabfgt           "Arabian Fight"
arabfgtj          "Arabian Fight"
arabfgtu          "Arabian Fight"
arabian           "Arabian"
arabiana          "Arabian"
arabianm          "Arabian Magic"
arabianmj         "Arabian Magic"
arabianmu         "Arabian Magic"
arabnga6          "Arabian Nights"
arabnga6u         "Arabian Nights"
arac6000          "Super Six Plus II English Mark Darts"
arac6spa          "Super Six Plus II English Mark Darts"
aracnis           "Aracnis"
arbalest          "Arbalester"
arcadecl          "Arcade Classics"
arcadian          "Arcadia"
archrivl          "Arch Rivals"
archrivla         "Arch Rivals"
archrivlb         "Arch Rivals"
arctthnd          "Arctic Thunder"
arcwins           "Arctic Wins"
area51            "Area 51"
area51a           "Area 51"
area51mx          "Area 51 / Maximum Force Duo v2.0"
area51t           "Area 51"
area51ta          "Area 51"
area88            "Area 88"
area88r           "Area 88"
arena             "Arena"
arenaa            "Arena"
arenaf            "Arena"
arenag            "Arena"
arescue           "Air Rescue"
arescuej          "Air Rescue"
arescueu          "Air Rescue"
argus             "Argus"
argusg            "Argus"
arian             "Arian Mission"
arish             "Arishinko"
arist_l1          "Aristocrat"
aristmk5          "MKV Set/Clear Chips"
aristmk6          "MK6 System Software/Setchips"
arizna10          "Arizona 10"
arizona           "Arizona"
ark1ball          "Arkanoid"
arkangc           "Arkanoid"
arkangc2          "Arkanoid"
arkanoid          "Arkanoid"
arkanoidj         "Arkanoid"
arkanoidja        "Arkanoid"
arkanoidjb        "Arkanoid"
arkanoidjbl       "Arkanoid"
arkanoidjbl2      "Arkanoid"
arkanoidu         "Arkanoid"
arkanoiduo        "Arkanoid"
arkarea           "Ark Area"
arkatayt          "Arkanoid"
arkatour          "Tournament Arkanoid"
arkbloc2          "Block"
arkbloc3          "Block"
arkblock          "Block"
arkgcbl           "Arkanoid"
arkgcbla          "Arkanoid"
arknoid2          "Arkanoid - Revenge of DOH"
arknoid2b         "Arkanoid - Revenge of DOH"
arknoid2j         "Arkanoid - Revenge of DOH"
arknoid2u         "Arkanoid - Revenge of DOH"
arkretrn          "Arkanoid Returns"
arkretrnj         "Arkanoid Returns"
arkretrnu         "Arkanoid Returns"
arktayt2          "Arkanoid"
arlingtn          "Arlington Horse Racing"
arlingtna         "Arlington Horse Racing"
armchmp2          "Arm Champs II"
armchmp2o         "Arm Champs II"
armchmp2o2        "Arm Champs II"
armedf            "Armed F"
armedff           "Armed F"
armora            "Armor Attack"
armorap           "Armor Attack"
armorar           "Armor Attack"
armorcar          "Armored Car"
armorcar2         "Armored Car"
armwar            "Armored Warriors"
armwar1d          "Armored Warriors"
armwara           "Armored Warriors"
armwarar1         "Armored Warriors"
armwarb           "Armored Warriors"
armwarr1          "Armored Warriors"
armwaru           "Armored Warriors"
armwaru1          "Armored Warriors"
armwrest          "Arm Wrestling"
arwincm           "Arctic Wins - Mr. Cashman"
as1               "AS-1 Controller"
as_acp            "unknown Astra 'ACP'"
as_bbr            "Bullion Bars"
as_bbra           "Bullion Bars"
as_bbrb           "Bullion Bars"
as_bbrc           "Bullion Bars"
as_bbrd           "Bullion Bars"
as_bbre           "Bullion Bars"
as_bbrf           "Bullion Bars"
as_big10          "Big 10"
as_big10a         "Big 10"
as_big10b         "Big 10"
as_big10c         "Big 10"
as_big10d         "Big 10"
as_big15          "Big 15"
as_bigcs          "Big Cash"
as_bigcsa         "Big Cash"
as_bigtm          "Big Time"
as_celeb          "Celebration"
as_celeba         "Celebration"
as_celebb         "Celebration"
as_colmn          "Colour Of Money"
as_colmna         "Colour Of Money"
as_colmnb         "Colour Of Money"
as_colmnc         "Colour Of Money"
as_colmnd         "Colour Of Money"
as_cshah          "Cash Ahoi"
as_cshcs          "Cash Castle"
as_csv            "Slot Slant"
as_dblcs          "Double Cash"
as_dblcsa         "Double Cash"
as_dblcsb         "Double Cash"
as_dblcsc         "Double Cash"
as_dblcsd         "Double Cash"
as_dblcse         "Double Cash"
as_dblcsf         "Double Cash"
as_dblcsg         "Double Cash"
as_dblcsh         "Double Cash"
as_djp            "Double Jackpot"
as_djpa           "Double Jackpot"
as_djpb           "Double Jackpot"
as_fortn          "Fortune Teller"
as_gof            "Game Of Fortune"
as_hc             "Hokey Cokey"
as_hca            "Hokey Cokey"
as_hcb            "Hokey Cokey"
as_hcc            "Hokey Cokey"
as_hcd            "Hokey Cokey"
as_hog            "Hearts Of Gold"
as_hr             "Hot Reel"
as_hxr            "Hot Cross Run"
as_jackb          "Jackpot Bell"
as_jjive          "Jungle Jive"
as_jjivea         "Jungle Jive"
as_jjiveb         "Jungle Jive"
as_jjivec         "Jungle Jive"
as_jjived         "Jungle Jive"
as_jjivee         "Jungle Jive"
as_jjivef         "Jungle Jive"
as_jjiveg         "Jungle Jive"
as_jmpj           "Jumping Jackpots"
as_jmpja          "Jumping Jackpots"
as_jolly          "Jolly Roger"
as_jpx            "Jackpot X"
as_jpxa           "Jackpot X"
as_jpxb           "Jackpot X"
as_kingc          "King Cash"
as_kingca         "King Cash"
as_koc            "King Of Clubs"
as_koca           "King Of Clubs"
as_lbt            "Little Big 10"
as_lbta           "Little Big 10"
as_ldl            "Little Devils"
as_ldla           "Little Devils"
as_ldlb           "Little Devils"
as_ldlc           "Little Devils"
as_ldld           "Little Devils"
as_ldle           "Little Devils"
as_letsp          "Let's Party"
as_mp             "Mission Possible"
as_mp2            "Mission Possible 2"
as_otr            "Over The Rainbow"
as_otra           "Over The Rainbow"
as_party          "Party Time"
as_partya         "Party Time"
as_partyb         "Party Time"
as_partyc         "Party Time"
as_partyd         "Party Time"
as_partye         "Party Time"
as_partyf         "Party Time"
as_pb             "Piggy Banking"
as_pharg          "Pharaoh's Gold"
as_pharga         "Pharaoh's Gold"
as_phargb         "Pharaoh's Gold"
as_phargc         "Pharaoh's Gold"
as_phargd         "Pharaoh's Gold"
as_pharge         "Pharaoh's Gold"
as_pia            "Pay It Again"
as_piaa           "Pay It Again"
as_piab           "Pay It Again"
as_ptf            "Party Fruits"
as_ptfa           "Party Fruits"
as_ptfb           "Party Fruits"
as_ptfc           "Party Fruits"
as_rab            "Ring A Bell"
as_raba           "Ring A Bell"
as_rabb           "Ring A Bell"
as_rabc           "Ring A Bell"
as_rbg            "River Boat Gambler"
as_rbga           "River Boat Gambler"
as_rbgb           "River Boat Gambler"
as_rbgc           "River Boat Gambler"
as_rbgd           "River Boat Gambler"
as_rbge           "River Boat Gambler"
as_rbglo          "River Boat Gambler"
as_rox            "Roll X"
as_rtr            "Ready To Roll"
as_rtra           "Ready To Roll"
as_rtrb           "Ready To Roll"
as_rtrc           "Ready To Roll"
as_rtrd           "Ready To Roll"
as_rtre           "Ready To Roll"
as_rtrf           "Ready To Roll"
as_rtrg           "Ready To Roll"
as_rtrh           "Ready To Roll"
as_siu            "Step It Up"
as_siua           "Step It Up"
as_sld            "Super Little Devil"
as_slda           "Super Little Devil"
as_sldb           "Super Little Devil"
as_sldc           "Super Little Devil"
as_sldd           "Super Little Devil"
as_slde           "Super Little Devil"
as_sltcl          "Slots Classic"
as_srb            "Super Ring a Bell"
as_srba           "Super Ring a Bell"
as_srbb           "Super Ring a Bell"
as_srbc           "Super Ring a Bell"
as_srbd           "Super Ring a Bell"
as_srbe           "Super Ring a Bell"
as_stp            "Stampede"
as_stpa           "Stampede"
as_stpb           "Stampede"
as_tbl            "Triple Bells"
as_tbla           "Triple Bells"
as_tblb           "Triple Bells"
as_tblc           "Triple Bells"
as_tbld           "Triple Bells"
as_tble           "Triple Bells"
as_tblf           "Triple Bells"
as_td             "Twin Dragons"
as_tem            "Temptation"
as_tema           "Temptation"
as_topsl          "Top Slot"
as_topsla         "Top Slot"
as_topslb         "Top Slot"
as_topslc         "Top Slot"
as_topsld         "Top Slot"
as_twp            "Twin Pots"
as_twpa           "Twin Pots"
as_vcv            "Viva Cash Vegas"
as_vcva           "Viva Cash Vegas"
as_vcvb           "Viva Cash Vegas"
as_vcvc           "Viva Cash Vegas"
as_vcvd           "Viva Cash Vegas"
as_vcve           "Viva Cash Vegas"
as_vn             "Vegas Nights"
as_ws             "Win Streak"
as_ww             "Wicked Willy"
as_wwa            "Wicked Willy"
as_wwb            "Wicked Willy"
as_wwc            "Wicked Willy"
as_wwd            "Wicked Willy"
as_wwe            "Wicked Willy"
ashnojoe          "Ashita no Joe"
ashura            "Ashura Blaster"
ashuraj           "Ashura Blaster"
ashurau           "Ashura Blaster"
asideral          "Ataque Sideral"
asndynmt          "Asian Dynamite / Dynamite Deka EX"
asndynmto         "Asian Dynamite / Dynamite Deka EX"
asnprinc          "Asian Princess"
aso               "ASO - Armored Scrum Object"
asoccer           "American Soccer"
assault           "Assault"
assaultj          "Assault"
assaultp          "Assault Plus"
astannie          "Asteroid Annie and the Aliens"
astdelux          "Asteroids Deluxe"
astdelux1         "Asteroids Deluxe"
astdelux2         "Asteroids Deluxe"
asterion          "Asterion"
asterix           "Asterix"
asterixaad        "Asterix"
asterixeaa        "Asterix"
asterixeac        "Asterix"
asterixj          "Asterix"
asterock          "Asterock"
asterockv         "Asterock"
asteroid          "Asteroids"
asteroid1         "Asteroids"
asteroid2         "Asteroids"
asteroidb1        "Asteroids"
asteroidb2        "Asteroids"
astinvad          "Astro Invader"
astoneag          "Stone Age"
astorm            "Alien Storm"
astorm3           "Alien Storm"
astorm3d          "Alien Storm"
astormb2          "Alien Storm"
astormbl          "Alien Storm"
astormj           "Alien Storm"
astormjd          "Alien Storm"
astormu           "Alien Storm"
astormud          "Alien Storm"
astrass           "Astra SuperStars"
astrians          "Astrians"
astroamb          "Astro Ambush"
astrob            "Astro Blaster"
astrob1           "Astro Blaster"
astrob2           "Astro Blaster"
astrob2a          "Astro Blaster"
astrob2b          "Astro Blaster"
astrobg           "Astro Blaster"
astrof            "Astro Fighter"
astrof2           "Astro Fighter"
astrof3           "Astro Fighter"
astroff           "Astro Fighter"
astroff2          "Astro Fighter"
astrofl           "Astro Flash"
astron            "Astron Belt"
astronp           "Astron Belt"
astropal          "Astropal"
astrowar          "Astro Wars"
astyanax          "The Astyanax"
astyanaxa         "The Astyanax"
asuka             "Asuka & Asuka"
asukaj            "Asuka & Asuka"
asukaja           "Asuka & Asuka"
asurabld          "Asura Blade - Sword of Dynasty"
